date,y,proba_cv
2023-02-06,1,0.4804279779955015
2023-02-07,0,0.4430426250594984
2023-02-08,0,0.4997569057071081
2023-02-09,0,0.5212026638468699
2023-02-10,1,0.5088474434484235
2023-02-13,1,0.46482850195942743
2023-02-14,1,0.49029244781483383
2023-02-15,0,0.48427788251044274
2023-02-16,0,0.5186971021747742
2023-02-17,0,0.4922104864912971
2023-02-21,0,0.5195106513581459
2023-02-22,1,0.5084815514440092
2023-02-23,0,0.49701643754614194
2023-02-24,1,0.5205737314100823
2023-02-27,1,0.49901664135024715
2023-02-28,0,0.49449593875925096
2023-03-01,1,0.5233534637118119
2023-03-02,1,0.48935402653035
2023-03-03,0,0.4554030199556865
2023-03-06,0,0.529840352948057
2023-03-07,1,0.5509051003459393
2023-03-08,0,0.49850122875888336
2023-03-09,0,0.5600525274460181
2023-03-10,0,0.550923574084803
2023-03-13,1,0.5179123280442823
2023-03-14,0,0.47098992421805613
2023-03-15,1,0.565826683272553
2023-03-16,0,0.4534198613834944
2023-03-17,1,0.5633213195191367
2023-03-20,1,0.4818223847327992
2023-03-21,0,0.4736289527514566
2023-03-22,0,0.5841293800073769
2023-03-23,1,0.5416385183710918
2023-03-24,1,0.500111639632378
2023-03-27,0,0.534585270245825
2023-03-28,1,0.5668091096961819
2023-03-29,1,0.49076717126972413
2023-03-30,1,0.5131282736854924
2023-03-31,1,0.4862077957636742
2023-04-03,0,0.5111607578318127
2023-04-04,0,0.5243442192576805
2023-04-05,1,0.5287601793876887
2023-04-06,1,0.4858623647872586
2023-04-10,1,0.503916850360423
2023-04-11,0,0.5159293887184856
2023-04-12,1,0.5145018545867068
2023-04-13,0,0.4688907125875872
2023-04-14,1,0.5090941739943857
